"","X1"
"(Intercept)",0.128510631852373
"G1",-0.0538661332935281
"G2",0
"G3",0
"G4",0.0410829901028074
"G5",0
"G6",0
"G7",-0.0792758817646916
"G8",-0.0621353166242497
"G9",0
"G11",0
"G12",0.23430325999748
"G13",0.302436330599442
"G14",-0.976530281375652
"G15",0
"G16",0
"G17",-0.00611616845446771
"G18",0
"G19",0
"G20",0
"G21",0.0404217748677652
"G22",0
"G23",0
"G24",0
"G25",0
"G26",-0.0739485010218546
"G27",0
"G28",0
"G29",0
"G30",0
"G31",0.0449743715637845
"G32",0.163125410708311
"G33",0.0316137956422546
"G34",0.0519123963977749
"G35",-0.0998042067945216
"G36",0
"G37",0
"G38",0
"G39",-0.0959051395459256
"G40",0
"G41",0
"G42",0
"G43",0.3097914015669
"G44",0.129485795988204
"G45",0.0161174018590481
"G46",0
"G47",0
"G48",0
"G49",0.0336822498278898
"G50",0
"G51",0
"G52",0
"G53",0
"G54",0
"G55",0
"G56",0
"G57",0
"G58",0
"G59",0
"G60",0
"G61",0
"G62",0
"G63",0.0454664784423265
"G64",0.0260955635941646
"G65",0.0142825566939732
"G66",-0.0694904690105768
"G67",0
"G68",-0.0162176202244843
"G69",0.050147168700888
"G70",0
"G71",0
"G72",0.0507902109472448
"G73",0
"G74",0
"G75",0.00893824965996249
"G76",0
"G77",0
"G78",-0.0502530937336914
"G79",0
"G80",0
"G81",-0.0232573714414148
"G82",0
"G83",0
"G84",0
"G85",0
"G86",0.254052203728942
"G87",0
"G88",0
"G89",-0.0273333776597724
"G90",0.0656138137356804
"G91",0
"G92",0
"G93",0
"G94",0
"G95",0
"G96",0
"G97",-0.0623373396579483
"G98",0
"G99",0
"G100",0.0299048514647428
